critic/critic_loss,critic/q_mean,critic/q_max,critic/q_min,actor/actor_loss,actor/bc_flow_loss,actor/distill_loss,loss,step
tensor(207.9117, device='cuda:0', dtype=torch.float64),tensor(1303.3350, device='cuda:0'),tensor(1308.8794, device='cuda:0'),tensor(1038.7948, device='cuda:0'),tensor(-1396.0897, device='cuda:0', dtype=torch.float64),tensor(0.2012, device='cuda:0', dtype=torch.float64),tensor(0.0388, device='cuda:0'),tensor(-1188.1780, device='cuda:0', dtype=torch.float64),5000
tensor(399.2253, device='cuda:0', dtype=torch.float64),tensor(1926.7467, device='cuda:0'),tensor(1956.6775, device='cuda:0'),tensor(1556.8517, device='cuda:0'),tensor(-2090.0157, device='cuda:0', dtype=torch.float64),tensor(0.1826, device='cuda:0', dtype=torch.float64),tensor(0.0410, device='cuda:0'),tensor(-1690.7904, device='cuda:0', dtype=torch.float64),10000
tensor(127.9537, device='cuda:0', dtype=torch.float64),tensor(2521.2964, device='cuda:0'),tensor(2529.5869, device='cuda:0'),tensor(2448.1865, device='cuda:0'),tensor(-2665.5629, device='cuda:0', dtype=torch.float64),tensor(0.1879, device='cuda:0', dtype=torch.float64),tensor(0.0514, device='cuda:0'),tensor(-2537.6092, device='cuda:0', dtype=torch.float64),15000
tensor(2160.2557, device='cuda:0', dtype=torch.float64),tensor(3029.1440, device='cuda:0'),tensor(3049.0376, device='cuda:0'),tensor(1796.1453, device='cuda:0'),tensor(-3214.1436, device='cuda:0', dtype=torch.float64),tensor(0.1977, device='cuda:0', dtype=torch.float64),tensor(0.0396, device='cuda:0'),tensor(-1053.8879, device='cuda:0', dtype=torch.float64),20000
tensor(2783.0753, device='cuda:0', dtype=torch.float64),tensor(3337.3203, device='cuda:0'),tensor(3363.1726, device='cuda:0'),tensor(2207.5640, device='cuda:0'),tensor(-3507.2786, device='cuda:0', dtype=torch.float64),tensor(0.1798, device='cuda:0', dtype=torch.float64),tensor(0.0954, device='cuda:0'),tensor(-724.2033, device='cuda:0', dtype=torch.float64),25000
tensor(214.7085, device='cuda:0', dtype=torch.float64),tensor(3541.4917, device='cuda:0'),tensor(3561.2212, device='cuda:0'),tensor(1589.0078, device='cuda:0'),tensor(-3743.5211, device='cuda:0', dtype=torch.float64),tensor(0.1886, device='cuda:0', dtype=torch.float64),tensor(0.0690, device='cuda:0'),tensor(-3528.8125, device='cuda:0', dtype=torch.float64),30000
tensor(767.4488, device='cuda:0', dtype=torch.float64),tensor(3923.9846, device='cuda:0'),tensor(3933.6755, device='cuda:0'),tensor(3223.3481, device='cuda:0'),tensor(-4145.6791, device='cuda:0', dtype=torch.float64),tensor(0.1562, device='cuda:0', dtype=torch.float64),tensor(0.0531, device='cuda:0'),tensor(-3378.2304, device='cuda:0', dtype=torch.float64),35000
tensor(704.7312, device='cuda:0', dtype=torch.float64),tensor(3899.4519, device='cuda:0'),tensor(3938.0686, device='cuda:0'),tensor(2017.9048, device='cuda:0'),tensor(-4171.2275, device='cuda:0', dtype=torch.float64),tensor(0.1389, device='cuda:0', dtype=torch.float64),tensor(0.0709, device='cuda:0'),tensor(-3466.4963, device='cuda:0', dtype=torch.float64),40000
tensor(58027.5953, device='cuda:0', dtype=torch.float64),tensor(3977.9448, device='cuda:0'),tensor(4262.9658, device='cuda:0'),tensor(2005.4473, device='cuda:0'),tensor(-4489.2543, device='cuda:0', dtype=torch.float64),tensor(0.1475, device='cuda:0', dtype=torch.float64),tensor(0.0537, device='cuda:0'),tensor(53538.3409, device='cuda:0', dtype=torch.float64),45000
tensor(678.1706, device='cuda:0', dtype=torch.float64),tensor(4464.9355, device='cuda:0'),tensor(4478.8008, device='cuda:0'),tensor(2829.2031, device='cuda:0'),tensor(-4741.1282, device='cuda:0', dtype=torch.float64),tensor(0.1438, device='cuda:0', dtype=torch.float64),tensor(0.0689, device='cuda:0'),tensor(-4062.9576, device='cuda:0', dtype=torch.float64),50000
tensor(47720.0819, device='cuda:0', dtype=torch.float64),tensor(4866.8682, device='cuda:0'),tensor(4992.5483, device='cuda:0'),tensor(1882.5806, device='cuda:0'),tensor(-5279.9395, device='cuda:0', dtype=torch.float64),tensor(0.1525, device='cuda:0', dtype=torch.float64),tensor(0.0558, device='cuda:0'),tensor(42440.1425, device='cuda:0', dtype=torch.float64),55000
